Sample	Population_descriptor	Source	Haplotype	Sample_hap	x1	x2
HG00251	British from England and Scotland	1000G	1	HG00251_H2	0.4719459043759207	-1.360732119459553
HG00252	British from England and Scotland	1000G	0	HG00252_H1	0.4548796183920599	-1.3517619467727997
HG00252	British from England and Scotland	1000G	1	HG00252_H2	0.4903240762345199	-1.357458845183817
HG00254	British from England and Scotland	1000G	0	HG00254_H1	0.4445954478422998	-1.3714929966286549
HG00254	British from England and Scotland	1000G	1	HG00254_H2	0.454264173435005	-1.3256867322192087
HG00255	British from England and Scotland	1000G	0	HG00255_H1	0.45207099591395833	-1.3689297287748248
HG00255	British from England and Scotland	1000G	1	HG00255_H2	0.46057329889163073	-1.3504604964741833
HG00256	British from England and Scotland	1000G	0	HG00256_H1	0.47281473442835503	-1.3562618020533066
HG00256	British from England and Scotland	1000G	1	HG00256_H2	0.464241030765293	-1.40349217416943
HG00257	British from England and Scotland	1000G	0	HG00257_H1	0.46081929044141445	-1.383824069903043
HG00257	British from England and Scotland	1000G	1	HG00257_H2	0.4490277166253602	-1.361063320826527
HG00258	British from England and Scotland	1000G	0	HG00258_H1	0.47435521947378917	-1.3609302064232562
HG00258	British from England and Scotland	1000G	1	HG00258_H2	0.45530386149417246	-1.3937344235650706
HG00259	British from England and Scotland	1000G	0	HG00259_H1	0.4453874074854475	-1.3806371042039602
HG00259	British from England and Scotland	1000G	1	HG00259_H2	0.45360053514315196	-1.372400678887727
HG00260	British from England and Scotland	1000G	0	HG00260_H1	0.4633047259893769	-1.3716648330037429
HG00260	British from England and Scotland	1000G	1	HG00260_H2	0.46340813440348744	-1.3869018217193299
HG00261	British from England and Scotland	1000G	0	HG00261_H1	0.4676323147576989	-1.4012534081468622
HG00261	British from England and Scotland	1000G	1	HG00261_H2	0.45688994873565336	-1.3341972329526375
HG00262	British from England and Scotland	1000G	0	HG00262_H1	0.47022323390001763	-1.391249208467575
HG00262	British from England and Scotland	1000G	1	HG00262_H2	0.4665657089442744	-1.387653745530377
HG00263	British from England and Scotland	1000G	0	HG00263_H1	0.46736081855959566	-1.386588755847484
HG00263	British from England and Scotland	1000G	1	HG00263_H2	0.45715074072580014	-1.3637540270007473
HG00264	British from England and Scotland	1000G	0	HG00264_H1	0.45312334809214405	-1.3650011190302618
HG00264	British from England and Scotland	1000G	1	HG00264_H2	0.4603717256396887	-1.3774275908065086
HG00265	British from England and Scotland	1000G	0	HG00265_H1	0.4704472112975951	-1.4238203965523002
HG00265	British from England and Scotland	1000G	1	HG00265_H2	0.45742659727543605	-1.382304286861087
HG00266	Finnish in Finland	1000G	0	HG00266_H1	0.4796712799482595	-1.1921182723453072
HG00266	Finnish in Finland	1000G	1	HG00266_H2	0.48544792230153916	-1.200057035379395
